Idcultivo,Nomcultivo,Idunidadmedida,Nomunidad
9400000,Zempoalxochitl,200203,Gruesa
9400000,Zempoalxochitl (gruesa),200203,Gruesa
9500000,Jatropha,200201,Tonelada
9600000,Hoja de plátano (belillo),200201,Tonelada
9800000,Stevia,200201,Tonelada
9900000,Viveros de durazno,200206,Planta
9920000,Maguey forrajero,200201,Tonelada
9930000,Zapote chiclero,200201,Tonelada
9940000,Bambú,200201,Tonelada
9950000,Semilla de cebollín,200201,Tonelada
9960000,Mangostán,200201,Tonelada
9970000,Semilla de triticale grano,200201,Tonelada
9980000,Semilla de haba,200201,Tonelada
9990000,Semilla de girasol,200201,Tonelada
15050000,Pastos y praderas,200201,Tonelada
15060000,Semilla de anís,200201,Tonelada
15070000,Frijol forrajero,200201,Tonelada
